Idiom,Meaning,Examples,Type,,,,
Butter wouldn’t melt in someone’s mouth., Someone is acting as if innocent.,"By the time her parents came home, Emily had cleaned up all evidence of having broken the valuable figurine, and she looked as though butter wouldn’t melt in her mouth.  Jane: How can you suspect George of playing that practical joke on you He looks so innocent. Jill: Yes, butter wouldn’t melt, I’m sure.",General,,,,
butterflies in one’s stomach,a nervous feeling in one’s stomachTypically: get ~,"Whenever I have to speak in public, I get butterf lies in my stomach.  She always has butterf lies in her stomach before a test. _It was not frightening enough to give me butterf lies in my stomach, but it made me a little apprehensive.",General,,,,
button something down†,to fasten something down with buttons.,Button your collar down. You look too casually dressed.  Please button down your collar.,General,,,,
button something up†,to fasten something with buttons,,General,,,,
button up, to fasten one’s buttons.,"Your jacket’s open. You’d better button up. It’s cold.  I’ll button up in the car. 2. Fig. to get silent and stay silent. one’s lip.  Hey, button up! That’s enough out of you.  I wish you would button up and stop gossiping.",Literal,,,,
button up one’s lip, to stop talkingFixed order.,Please button up your lip!  Will you button your lip I don’t want the news to get out.,Figurative,,,,
buttress something up†, to brace something,"We have to buttress up this part of the wall while we work on it.  The workers buttressed the wall up with heavy timbers. 2. Fig. to provide extra support, often financial support, for something.  We rounded up some money to buttress the company up through the sales slump. _The loan buttressed up the company for a few months.",Literal,,,,
buy a pig in a poke, to buy something without looking inside first.,"If you don’t get a good look at the engine of a used car before you buy it, you’ll wind up buying a pig in a poke.  I just took the salesman’s word that this camera worked. I guess I bought a pig in a poke.",Figurative,,,,
buy into something, to purchase shares of something,I bought into a company that makes dog food. _Sounds like a good company. I would like to buy in. 2. Fig. to agree with; to accept an idea as worthwhile.  The committee liked my proposal and decided to buy into my plan.  Do you think you can get the whole board to buy in,Literal,,,,
buy one’s way into something,to achieve entry or membership in something often by paying money.,Do you think you can buy your way into this fraternity  I’m sure I can buy my way in with my family connections.,General,,,,
buy one’s way out of something,to get out of trouble by bribing or influencing someone to ignore what one has done wrong.,"You can’t buy your way out of this mess, buster!  You made this mess and you can’t buy your way out!",General,,,,
buy someone off†,to bribe someone to ignore what one is doing wrong.,Do you think you can buy her off   The mobster tried to buy off the jury.,General,,,,
buy someone or something out†,to purchase full ownership of something from someone or a group.,"We liked the company, so we borrowed a lot of money and bought it out.  Carl bought out the owners of the company.",General,,,,
buy someone’s wolf ticket, to challenge someone’s boast or taunt.,He wants me to buy his wolf ticket bad.  He’s such a fighter. He’ll buy anybody’s wolf ticket.,General,,,,
buy something at something," to purchase something at a particular place or at a particular type of sale, such as a store, an auction, a clearance sale, etc",I bought shares in General Motors at forty and a half.  The shares were bought at a good price.,General,,,,
buy something back† from someone,to repurchase something that one has previously sold from the person who bought it.,Can I buy it back from you I have decided I need it.  He bought back his book from George.,General,,,,
buy something on credit,to purchase something now and pay for it later normally plus interest.,"Almost everyone who buys a house buys it on credit.  I didn’t have any cash with me, so I used my credit card and bought a new coat on credit.",General,,,,
buy something on time,to buy something on credit.,"Tom: That’s an awful fancy TV. Are you sure you can afford it Jane: I’m buying it on time. _I bought the sofa on time, but I paid cash for the chairs.",General,,,,
buy something out†,to buy all that is available of a particular item.,The kids came in and bought all our bubble gum out.  They bought out the bubble gum in a single hour.,General,,,,
